incident_number,opened_at,category,cmdb_ci,state,problem_id
INC1302128,2021-09-20 03:40:34,Software,,Closed Complete,
INC1302129,2021-09-20 03:58:07,Software,,Closed Complete,
INC1302499,2021-09-20 12:52:15,Software,Web External,Closed Complete,
INC1304121,2021-09-24 06:03:05,Software,,Closed Complete,
INC1305341,2021-09-27 14:31:27,Hardware,Okidata MB 472,Closed Complete,
INC1306177,2021-09-29 09:15:45,Software,Enterprise Service Bus (ESB),Closed Complete,
INC1306625,2021-09-30 10:33:09,Software,,Closed Complete,
INC1307732,2021-10-03 18:07:35,Software,Duplicate Incident,Closed Complete,
INC1307733,2021-10-03 18:07:36,Software,,Closed Complete,
INC1308079,2021-10-04 11:15:49,Software,SAP ERP Central Component (ECC),Closed Complete,
INC1308346,2021-10-04 17:40:35,Software,,Closed Complete,
INC1309853,2021-10-07 15:25:37,Software,,Closed Complete,
INC1310620,2021-10-10 07:20:43,Software,,Closed Complete,
INC1310621,2021-10-10 07:20:44,Software,,Closed Complete,
INC1313678,2021-10-17 15:55:38,Software,,Closed Complete,
INC1316042,2021-10-22 06:28:29,Software,Web External,Closed Complete,
INC1318546,2021-10-28 06:21:45,Software,SafeNet MobilePASS,Closed Complete,
INC1319853,2021-10-31 17:34:05,Software,Duplicate Incident,Closed Complete,
INC1319854,2021-10-31 17:34:06,Software,,Closed Complete,
INC1320875,2021-11-02 14:10:38,Software,,Closed Complete,
INC1323001,2021-11-07 09:02:08,Software,,Closed Complete,
INC1323002,2021-11-07 09:02:09,Software,,Closed Complete,
INC1324311,2021-11-09 16:13:30,Software,,Closed Complete,
INC1324867,2021-11-10 15:43:25,Software,Request for Information,Closed Complete,
INC1327395,2021-11-16 13:38:55,Software,TNNMJ0FA1QML,Closed Complete,
INC1327769,2021-11-17 10:25:34,Software,,Closed Complete,
INC1328829,2021-11-19 11:17:23,Software,Tririga Hosting SaaS,Closed Complete,
INC1329157,2021-11-20 09:28:31,Software,,Closed Complete,
INC1329296,2021-11-21 04:10:41,Software,,Closed Complete,
INC1329613,2021-11-22 11:55:18,Software,,Closed Complete,
INC1333249,2021-12-01 15:23:42,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1333331,2021-12-01 18:57:08,Software,,Closed Complete,
INC1336040,2021-12-08 13:22:09,Hardware,Bar Code Scanner,Closed Complete,
INC1336435,2021-12-09 11:40:37,Software,,Closed Complete,
INC1336917,2021-12-10 11:35:55,Software,SafeNet MobilePASS,Closed Complete,
INC1338092,2021-12-14 04:40:41,Software,,Closed Complete,
INC1338707,2021-12-15 08:30:04,Software,Clarity PPM (CA PPM),Closed Complete,
INC1339484,2021-12-16 12:33:19,Software,Informational,Closed Complete,
INC1339488,2021-12-16 12:34:03,Software,Informational,Closed Complete,
INC1340428,2021-12-19 17:16:04,Software,,Closed Complete,
INC1340786,2021-12-20 12:45:07,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1341871,2021-12-22 18:25:35,Software,,Closed Complete,
INC1343536,2021-12-29 09:50:53,Software,Print Supervision,Closed Complete,
INC1343526,2021-12-29 09:56:10,Software,Print Supervision,Closed Complete,
INC1343579,2021-12-29 11:52:15,Software,Print Supervision,Closed Complete,
INC1343622,2021-12-29 13:18:36,Software,Print Supervision,Closed Complete,
INC1343752,2021-12-29 16:44:37,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1343881,2021-12-30 07:25:33,Software,,Closed Complete,
INC1343892,2021-12-30 07:40:38,Software,,Closed Complete,
INC1343901,2021-12-30 07:55:37,Software,,Closed Complete,
INC1343912,2021-12-30 08:10:36,Software,,Closed Complete,
INC1343926,2021-12-30 08:25:36,Software,,Closed Complete,
INC1343939,2021-12-30 08:40:36,Software,,Closed Complete,
INC1344675,2022-01-02 04:56:36,Software,Skybot,Closed Complete,
INC1344905,2022-01-03 07:32:40,Software,SafeNet MobilePASS,Closed Complete,
INC1345060,2022-01-03 10:55:37,Software,,Closed Complete,
INC1351513,2022-01-05 07:55:36,Software,,Closed Complete,
INC1351689,2022-01-05 10:39:52,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,PRB0014759
INC1351691,2022-01-05 10:39:57,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,PRB0014759
INC1352827,2022-01-07 06:38:10,Hardware,Missing Asset,Closed Complete,
INC1352882,2022-01-07 07:32:10,Software,,Closed Complete,
INC1353874,2022-01-09 04:55:35,Software,,Closed Complete,
INC1353878,2022-01-09 05:10:34,Software,,Closed Complete,
INC1353879,2022-01-09 05:25:34,Software,,Closed Complete,
INC1356338,2022-01-12 13:53:50,Network,Visit The Vehicle (VTV),Closed Complete,
INC1357383,2022-01-14 12:25:49,Software,,Closed Complete,
INC1357399,2022-01-14 12:40:55,Software,,Closed Complete,
INC1357710,2022-01-15 08:16:03,Software,Visit The Vehicle (VTV),Closed Complete,
INC1358400,2022-01-17 11:48:29,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1358559,2022-01-17 15:10:36,Software,,Closed Complete,
INC1358703,2022-01-18 04:14:17,Software,,Closed Complete,
INC1358705,2022-01-18 04:25:35,Software,,Closed Complete,
INC1358707,2022-01-18 04:40:36,Software,,Closed Complete,
INC1358709,2022-01-18 04:47:21,Software,,Closed Complete,
INC1358710,2022-01-18 04:55:35,Software,,Closed Complete,
INC1358711,2022-01-18 05:10:35,Software,,Closed Complete,
INC1358715,2022-01-18 05:25:35,Software,,Closed Complete,
INC1358945,2022-01-18 09:40:37,Software,,Closed Complete,
INC1358954,2022-01-18 09:55:36,Software,,Closed Complete,
INC1359956,2022-01-20 07:05:11,Hardware,Visit The Vehicle (VTV),Closed Complete,
INC1361048,2022-01-21 14:57:34,Software,Store Point of Sale (POS),Closed Complete,
INC1361403,2022-01-22 09:26:27,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1361586,2022-01-24 04:55:37,Software,,Closed Complete,
INC1362940,2022-01-25 17:55:37,Software,,Closed Complete,
INC1363857,2022-01-27 10:22:10,Software,Store Web Orders,Closed Complete,
INC1364193,2022-01-27 21:17:02,Software,Enterprise Email,Closed Complete,
INC1365903,2022-02-01 06:10:34,Software,,Closed Complete,
INC1365927,2022-02-01 06:55:39,Software,,Closed Complete,
INC1365932,2022-02-01 07:10:38,Software,,Closed Complete,
INC1365948,2022-02-01 07:25:33,Software,,Closed Complete,
INC1365960,2022-02-01 07:40:38,Software,,Closed Complete,
INC1365982,2022-02-01 07:55:32,Software,,Closed Complete,
INC1365995,2022-02-01 08:10:39,Software,,Closed Complete,
INC1366008,2022-02-01 08:25:38,Software,,Closed Complete,
INC1366027,2022-02-01 08:40:36,Software,,Closed Complete,
INC1366787,2022-02-02 11:22:31,Hardware,ORP005TC02,Closed Complete,
INC1367056,2022-02-02 16:31:05,Software,Purchase Orders,Closed Complete,
INC1368799,2022-02-07 04:15:42,Software,,Closed Complete,
INC1368815,2022-02-07 05:55:36,Software,,Closed Complete,
INC1370279,2022-02-09 11:02:24,Software,Purchase Orders,Closed Complete,
INC1370793,2022-02-10 08:57:38,Software,,Closed Complete,
INC1371607,2022-02-11 11:10:10,Software,Clarity PPM (CA PPM),Closed Complete,
INC1371957,2022-02-12 08:49:41,Network,CiscoTelephone,Closed Complete,
INC1373226,2022-02-15 10:28:12,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1373818,2022-02-16 10:55:42,Software,,Closed Complete,
INC1373850,2022-02-16 11:55:41,Software,,Closed Complete,
INC1374021,2022-02-16 15:10:38,Software,,Closed Complete,
INC1374057,2022-02-16 15:40:38,Software,,Closed Complete,
INC1374127,2022-02-16 16:55:41,Software,,Closed Complete,
INC1374132,2022-02-16 17:10:39,Software,,Closed Complete,
INC1374143,2022-02-16 17:40:39,Software,,Closed Complete,
INC1374152,2022-02-16 17:59:39,Software,,Closed Complete,
INC1374836,2022-02-18 08:10:42,Software,,Closed Complete,
INC1377501,2022-02-24 09:37:00,Software,sap_01rtr,Closed Complete,
INC1378033,2022-02-24 14:49:41,Hardware,,Closed Complete,
INC1378467,2022-02-25 12:44:56,Hardware,Bar Code Scanner,Closed Complete,
INC1378657,2022-02-26 07:03:29,Hardware,Bar Code Scanner,Closed Complete,
INC1378713,2022-02-26 09:00:49,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1378937,2022-02-28 05:10:37,Software,,Closed Complete,
INC1380580,2022-03-02 17:40:34,Software,,Closed Complete,
INC1381822,2022-03-06 09:21:31,Software,,Closed Complete,
INC1381823,2022-03-06 09:21:32,Software,,Closed Complete,
INC1381878,2022-03-06 12:42:53,Software,,Closed Complete,
INC1385053,2022-03-13 19:51:33,Software,,Closed Complete,
INC1387240,2022-03-18 04:06:46,Software,skybotprd01,Closed Complete,
INC1387592,2022-03-18 12:04:48,Software,S.H.O.P. (SHOP),Closed Complete,
INC1388814,2022-03-22 07:18:26,Software,S.H.O.P. (SHOP),Closed Complete,
INC1388899,2022-03-22 08:51:20,Hardware,Visit The Vehicle (VTV),Closed Complete,
INC1390101,2022-03-24 10:08:39,Hardware,,Closed Complete,
INC1390144,2022-03-24 11:24:03,Software,Tririga Hosting SaaS,Closed Complete,
INC1391232,2022-03-27 18:19:06,Software,,Closed Complete,
INC1391255,2022-03-27 22:31:43,Software,,Closed Complete,
INC1391884,2022-03-28 13:06:21,Software,Visit The Vehicle (VTV),Closed Complete,
INC1394127,2022-04-01 11:14:07,Information Security,Email Filter,Closed Complete,
INC1394130,2022-04-01 11:16:47,Information Security,Email Filter,Closed Complete,
INC1394131,2022-04-01 11:16:49,Information Security,Email Filter,Closed Complete,
INC1394869,2022-04-04 07:16:48,Software,Request for Information,Closed Complete,
INC1399764,2022-04-13 12:42:58,Software,,Closed Complete,
INC1400252,2022-04-14 12:29:35,Network,,Closed Complete,
INC1400996,2022-04-16 08:56:39,Software,,Closed Complete,
INC1401331,2022-04-18 07:46:21,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1402182,2022-04-19 15:07:04,Hardware,Missing Asset,Closed Complete,
INC1404046,2022-04-24 21:28:52,Software,,Closed Complete,
INC1404047,2022-04-24 21:28:52,Software,,Closed Complete,
INC1404048,2022-04-24 21:28:53,Software,,Closed Complete,
INC1404056,2022-04-24 21:29:05,Software,,Closed Complete,
INC1404059,2022-04-24 21:29:10,Software,,Closed Complete,
INC1404508,2022-04-25 09:12:14,Software,SAP,Closed Complete,
INC1404775,2022-04-25 14:09:41,Software,Miscellaneous,Closed Complete,
INC1406069,2022-04-27 13:17:09,Software,Miscellaneous,Closed Complete,
INC1406171,2022-04-27 15:25:49,Software,,Closed Complete,
INC1406304,2022-04-28 01:09:13,Software,Miscellaneous,Closed Complete,
INC1406308,2022-04-28 02:19:54,Software,SAP ERP Central Component (ECC),Closed Complete,
INC1406309,2022-04-28 02:37:52,Software,Miscellaneous,Closed Complete,
INC1406311,2022-04-28 02:39:19,Software,Miscellaneous,Closed Complete,
INC1406335,2022-04-28 05:21:47,Software,,Closed Complete,
INC1406728,2022-04-28 12:56:31,Software,Informational,Closed Complete,
INC1406984,2022-04-29 05:54:21,Software,Miscellaneous,Closed Complete,
INC1407319,2022-04-29 13:58:17,Software,SAP CAR PRD CAP/HCP,Closed Complete,
INC1408451,2022-05-03 06:49:09,Hardware,MTM002TC02,Closed Complete,
INC1409690,2022-05-05 09:56:22,Software,Softphone Cisco IP Communicator,Closed Complete,
INC1409673,2022-05-05 10:06:55,Software,Miscellaneous,Closed Complete,
INC1412991,2022-05-12 14:32:34,Software,SAP ECC PRD RTP,Closed Complete,
INC1413061,2022-05-12 18:30:06,Software,,Closed Complete,
INC1413066,2022-05-12 19:00:08,Software,Duplicate Incident,Closed Complete,
INC1413082,2022-05-12 19:30:30,Software,,Closed Complete,
INC1413084,2022-05-12 19:44:38,Software,,Closed Complete,
INC1413088,2022-05-12 20:00:20,Software,,Closed Complete,
INC1414933,2022-05-18 05:30:28,Software,SAP ERP Central Component (ECC),Closed Complete,
INC1415028,2022-05-18 07:49:26,Software,SAP ERP Central Component (ECC),Closed Complete,
INC1415500,2022-05-18 17:48:51,Software,skybotprd01,Closed Complete,
INC1415503,2022-05-18 17:53:59,Software,Duplicate Incident,Closed Complete,
INC1415506,2022-05-18 18:12:39,Software,Duplicate Incident,Closed Complete,
INC1415591,2022-05-19 06:56:04,Software,Store Point of Sale (POS),Closed Complete,
INC1416951,2022-05-21 11:25:40,Software,,Closed Complete,
INC1419027,2022-05-24 10:36:45,Software,,Closed Complete,
INC1419179,2022-05-24 13:09:37,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1419192,2022-05-24 13:34:47,Software,,Closed Complete,
INC1420248,2022-05-26 10:16:00,Software,Microsoft Outlook,Closed Complete,
INC1420955,2022-05-27 10:14:49,Software,skybotprd01,Closed Complete,
INC1422140,2022-05-31 09:18:19,Software,,Closed Complete,
INC1422203,2022-05-31 09:54:49,Software,,Closed Complete,
INC1422271,2022-05-31 10:27:51,Software,,Closed Complete,
INC1422305,2022-05-31 10:46:43,Software,,Closed Complete,
INC1422338,2022-05-31 11:15:51,Software,,Closed Complete,
INC1422369,2022-05-31 11:49:48,Software,,Closed Complete,
INC1422446,2022-05-31 13:19:53,Software,,Closed Complete,
INC1422450,2022-05-31 13:20:09,Software,,Closed Complete,
INC1422451,2022-05-31 13:20:18,Software,,Closed Complete,
INC1422485,2022-05-31 13:45:11,Software,,Closed Complete,
INC1422514,2022-05-31 14:19:04,Software,,Closed Complete,
INC1422539,2022-05-31 14:48:05,Software,,Closed Complete,
INC1422567,2022-05-31 15:18:06,Software,,Closed Complete,
INC1424213,2022-06-03 03:18:02,Software,,Closed Complete,
INC1424218,2022-06-03 04:32:56,Software,,Closed Complete,
INC1424475,2022-06-03 08:28:12,Software,TC75 Bar Code Scanner,Closed Complete,
INC1425187,2022-06-05 18:00:07,Software,,Closed Complete,
INC1425204,2022-06-05 18:15:10,Software,,Closed Complete,
INC1425209,2022-06-05 18:30:03,Software,,Closed Complete,
INC1425891,2022-06-06 14:58:42,Software,Informational,Closed Complete,
INC1427993,2022-06-09 11:36:39,Software,Mulesoft Cloudhub,Closed Complete,
INC1428718,2022-06-10 13:05:47,Hardware,Computer,Closed Complete,
INC1429036,2022-06-11 07:56:28,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,PRB0014830
INC1429019,2022-06-11 08:13:13,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,PRB0014830
INC1429027,2022-06-11 08:24:08,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,PRB0014830
INC1429040,2022-06-11 08:37:35,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,PRB0014830
INC1429050,2022-06-11 08:42:37,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,PRB0014830
INC1429222,2022-06-11 13:02:12,Software,Missing Asset,Closed Complete,
INC1429231,2022-06-11 14:00:21,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,PRB0014830
INC1429444,2022-06-13 06:07:49,Software,SAP ERP Central Component (ECC),Closed Complete,
INC1429651,2022-06-13 09:13:09,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1429736,2022-06-13 10:16:29,Software,Duplicate Incident,Closed Complete,
INC1429739,2022-06-13 10:17:18,Software,Duplicate Incident,Closed Complete,
INC1430037,2022-06-13 15:21:54,Software,oktaopcwp02,Closed Complete,
INC1430873,2022-06-14 12:42:16,Software,Visit The Vehicle (VTV),Closed Complete,
INC1431274,2022-06-15 10:08:07,Software,Mulesoft Cloudhub,Closed Complete,
INC1432452,2022-06-17 08:11:44,Software,Softphone Cisco IP Communicator,Closed Complete,
INC1432830,2022-06-17 15:19:19,Software,,Closed Complete,
INC1433538,2022-06-20 09:22:58,Software,Mulesoft Cloudhub,Closed Complete,
INC1434058,2022-06-20 15:41:54,Network,Visit The Vehicle (VTV),Closed Complete,
INC1434121,2022-06-20 15:42:35,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1434142,2022-06-20 17:22:55,Software,,Closed Complete,
INC1434512,2022-06-21 09:39:44,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1435180,2022-06-22 11:36:21,Hardware,Bar Code Scanner,Closed Complete,
INC1436426,2022-06-24 10:35:01,Software,Mulesoft Cloudhub,Closed Complete,
INC1436624,2022-06-24 14:49:49,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1436637,2022-06-24 15:01:40,Software,Buy Online Pickup In Store (BOPIS),Closed Complete,
INC1436898,2022-06-25 03:27:02,Software,,Closed Complete,
INC1437133,2022-06-26 09:17:53,Software,,Closed Complete,
INC1437154,2022-06-26 17:04:45,Software,,Closed Complete,
INC1437155,2022-06-26 17:04:46,Software,Duplicate Incident,Closed Complete,
INC1437849,2022-06-27 13:27:50,Software,SAP ECC PRD RTP,Closed Complete,
INC1438849,2022-06-28 21:25:19,Software,,Closed Complete,
INC1440509,2022-07-01 13:31:41,Software,,Closed Complete,
INC1441160,2022-07-03 17:24:03,Software,,Closed Complete,
INC1441161,2022-07-03 17:24:04,Software,Duplicate Incident,Closed Complete,
INC1441983,2022-07-05 08:41:47,Software,,Closed Complete,
INC1442009,2022-07-05 09:00:54,Software,,Closed Complete,
INC1442042,2022-07-05 09:31:25,Software,,Closed Complete,
INC1442075,2022-07-05 09:52:34,Software,Duplicate Incident,Closed Complete,
INC1442096,2022-07-05 10:17:18,Software,,Closed Complete,
INC1442098,2022-07-05 10:23:07,Software,Duplicate Incident,Closed Complete,
INC1442120,2022-07-05 10:56:23,Software,Duplicate Incident,Closed Complete,
INC1442123,2022-07-05 11:00:41,Software,Duplicate Incident,Closed Complete,
INC1442137,2022-07-05 11:16:42,Software,Duplicate Incident,Closed Complete,
INC1442153,2022-07-05 11:33:51,Software,Duplicate Incident,Closed Complete,
INC1442172,2022-07-05 12:00:20,Software,Duplicate Incident,Closed Complete,
INC1442217,2022-07-05 13:07:35,Software,,Closed Complete,
INC1442218,2022-07-05 13:07:36,Software,,Closed Complete,
INC1442219,2022-07-05 13:07:38,Software,,Closed Complete,
INC1442267,2022-07-05 14:26:12,Software,,Closed Complete,
INC1442268,2022-07-05 14:26:13,Software,,Closed Complete,
INC1442269,2022-07-05 14:26:14,Software,,Closed Complete,
INC1442270,2022-07-05 14:26:19,Software,,Closed Complete,
INC1442279,2022-07-05 14:35:36,Software,,Closed Complete,
INC1442295,2022-07-05 15:02:25,Software,,Closed Complete,
INC1442296,2022-07-05 15:02:27,Software,,Closed Complete,
INC1442302,2022-07-05 15:16:44,Software,,Closed Complete,
INC1442314,2022-07-05 15:51:25,Software,,Closed Complete,
INC1442321,2022-07-05 16:02:33,Software,,Closed Complete,
INC1442326,2022-07-05 16:16:25,Software,,Closed Complete,
INC1442356,2022-07-05 16:57:46,Software,,Closed Complete,
INC1442588,2022-07-06 08:22:27,Software,,Closed Complete,
INC1442647,2022-07-06 09:14:51,Software,,Closed Complete,
INC1442648,2022-07-06 09:16:11,Software,,Closed Complete,
INC1442660,2022-07-06 09:30:16,Software,,Closed Complete,
INC1442686,2022-07-06 10:00:35,Software,,Closed Complete,
INC1442711,2022-07-06 10:17:59,Software,,Closed Complete,
INC1442732,2022-07-06 10:49:18,Software,,Closed Complete,
INC1442743,2022-07-06 11:00:16,Software,,Closed Complete,
INC1442761,2022-07-06 11:20:02,Software,,Closed Complete,
INC1442781,2022-07-06 11:39:46,Software,,Closed Complete,
INC1442796,2022-07-06 12:00:22,Software,Duplicate Incident,Closed Complete,
INC1442822,2022-07-06 12:52:44,Software,Duplicate Incident,Closed Complete,
INC1442823,2022-07-06 12:52:46,Software,Duplicate Incident,Closed Complete,
INC1442830,2022-07-06 13:00:41,Software,Duplicate Incident,Closed Complete,
INC1442846,2022-07-06 13:16:40,Software,Duplicate Incident,Closed Complete,
INC1442881,2022-07-06 13:55:12,Software,Duplicate Incident,Closed Complete,
INC1442905,2022-07-06 14:15:27,Software,Duplicate Incident,Closed Complete,
INC1443285,2022-07-07 09:50:02,Software,Mulesoft Cloudhub,Closed Complete,
INC1443286,2022-07-07 09:50:04,Software,Mulesoft Cloudhub,Closed Complete,
INC1443287,2022-07-07 09:50:06,Software,Mulesoft Cloudhub,Closed Complete,
INC1443290,2022-07-07 09:50:08,Software,Mulesoft Cloudhub,Closed Complete,
INC1443614,2022-07-08 03:16:47,Software,,Closed Complete,
INC1443786,2022-07-08 08:15:30,Software,Mulesoft Cloudhub,Closed Complete,
INC1443986,2022-07-08 10:15:06,Software,Tririga Hosting SaaS,Closed Complete,
